dataset,nu,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
graves_zigzag_outliers,0.3,0.10714285714285714,0.8426666666666666,0.08003887944132038,0.37042576137312977,0.17945472215480895,0.3875133689839572,0.1768067352505317
graves_zigzag_outliers,0.5,0.10714285714285714,0.8426666666666666,0.08003887944132038,0.37042576137312977,0.17945472215480895,0.3875133689839572,0.1768067352505317
sipu_flame,0.01,0.05,0.7476972624798712,0.09883021895495489,0.2944026246657826,0.22421485077446637,0.14666666666666667,0.1808621328833405
sipu_flame,0.05,0.05,0.7476972624798712,0.09883021895495489,0.2944026246657826,0.22421485077446637,0.14666666666666667,0.1808621328833405
sipu_flame,0.1,0.05,0.7476972624798712,0.09883021895495489,0.2944026246657826,0.22421485077446637,0.14666666666666667,0.1808621328833405
sipu_flame,0.15,0.05,0.7476972624798712,0.09883021895495489,0.2944026246657826,0.22421485077446637,0.14666666666666667,0.1808621328833405
sipu_flame,0.2,0.05,0.7476972624798712,0.09883021895495489,0.2944026246657826,0.22421485077446637,0.14666666666666667,0.1808621328833405
sipu_flame,0.3,0.05,0.7476972624798712,0.09883021895495489,0.2944026246657826,0.22421485077446637,0.14666666666666667,0.1808621328833405
sipu_flame,0.5,0.05,0.7476972624798712,0.09883021895495489,0.2944026246657826,0.22421485077446637,0.14666666666666667,0.1808621328833405
wut_x2,0.01,0.08333333333333333,0.6909090909090908,0.38799122423406,0.6380434782608695,0.32274942566399034,0.44761904761904764,0.2320176707634254
wut_x2,0.05,0.08333333333333333,0.6909090909090908,0.38799122423406,0.6380434782608695,0.32274942566399034,0.44761904761904764,0.2320176707634254
