dataset,eps_fraction,eps_abs,min_samples,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,0.5,11.5398,15,23.0796,0.14601769911504425,0.771240481130591,0.07872883458046379,0.42329311477331233,0.10128153176246897,0.40588780966932225,0.061168562887573594
arrhythmia,0.5,11.5398,20,23.0796,0.14601769911504425,0.7712950053609394,0.07679054677100161,0.42208759612833385,0.09463195568208901,0.4040696278511405,0.06118143993047726
arrhythmia,0.75,17.3097,2,23.0796,0.14601769911504425,0.7687539566660446,0.07478782536905747,0.4285688035461,0.10561101302335546,0.4081244239631336,0.09459426204735212
arrhythmia,0.75,17.3097,3,23.0796,0.14601769911504425,0.7695531574652454,0.07542645773929245,0.4394079643852608,0.11257040538615276,0.4081244239631336,0.09459426204735212
arrhythmia,0.75,17.3097,5,23.0796,0.14601769911504425,0.7693559188064683,0.07558032903157962,0.4391380588521974,0.11294198428960313,0.4081244239631336,0.09459426204735212
arrhythmia,0.75,17.3097,7,23.0796,0.14601769911504425,0.7693559188064683,0.07558032903157962,0.4391380588521974,0.11294198428960313,0.4081244239631336,0.09459426204735212
arrhythmia,0.75,17.3097,10,23.0796,0.14601769911504425,0.7693559188064683,0.07558032903157962,0.4391380588521974,0.11294198428960313,0.4081244239631336,0.09459426204735212
arrhythmia,0.75,17.3097,15,23.0796,0.14601769911504425,0.7693559188064683,0.07558032903157962,0.4391380588521974,0.11294198428960313,0.4081244239631336,0.09459426204735212
arrhythmia,0.75,17.3097,20,23.0796,0.14601769911504425,0.7693559188064683,0.07558032903157962,0.4391380588521974,0.11294198428960313,0.4081244239631336,0.09459426204735212
arrhythmia,1.0,23.0796,2,23.0796,0.14601769911504425,0.7685541564662445,0.07549156434329021,0.42794689526114826,0.12952514403994334,0.32553884711779446,0.07840320076575163
arrhythmia,1.0,23.0796,3,23.0796,0.14601769911504425,0.769153557065645,0.07447639674234405,0.4330751003893534,0.11364323933444354,0.32553884711779446,0.07840320076575163
